city,station_name,gasoil10_price,station_location
Casablanca,WINXO DANTON,‎ 13.89 DH,BD BIR ANZARANE
Casablanca,S/S AIN HARROUDA,‎ 13.94 DH,COMMUNE AIN HARROUDA
Casablanca,EL MANAR,‎ 13.97 DH,"ANGLE BOULEVARD BRAHIM ERROUDANI ET YAACOUB EL MANSOUR, CASABLANCA"
Casablanca,AIN HARROUDA,‎ 13.62 DH,RN 1 MUNICIPALITÉ DE AIN HARROUDA PRÉFECTURE DE MOHAMMEDIA    
Casablanca,GHANDI,‎ 13.97 DH,ANGLE BOULEVARD GHANDI ET RUE CLEMENT
Casablanca,RACINE,‎ 13.99 DH,ANGLE BOULEVARD ANFA - BOULEVARD ZERKTOUNI
Casablanca,RELAIS AL BAIDA,‎ 13.97 DH,"275,BD MOULAY YOUSSEF -, CASABLANCA"
Casablanca,CASABLANCA,‎ 14.02 DH,"CASABLANCA VERS RABAT, PK 24"
Casablanca,ALMA,‎ 13.99 DH,AUTOROUTE DE CONTOURNEMENT DE CASABLANCA DOUAR LAMZABIINE BOUSKOURA
Casablanca,ISTIRAHA BEAULIEU,‎ 13.89 DH,BD.GHANDI-RIVERA CASABLANCA
Casablanca,CHELLALATE,‎ 13.97 DH,"COMMUNE CHELLALATE, RTE N 9, MOHAMMEDIA"
Casablanca,ROUTE DU SUD,‎ 13.97 DH,BOULEVARD BRAHIM ROUDANI VERS ROUTE D'EL JADIDA
Casablanca,AL MASSIRA,‎ 13.99 DH,"87, BOULEVARD AL MASSIRA AL KHADRA"
Casablanca,VILLE VERTE,‎ 13.99 DH,VILLE VERTE BOSKOURA 
Casablanca,SAUVAGE,‎ 13.97 DH,"ANGLE RUE AISHAK / JOUFROY, CASABLANCA"
Casablanca,PETRO VEGAS,‎ 13.84 DH,AIN HARROUDA CENTRE
Casablanca,ISTIRAHA FLECHE DU SUD,‎ 13.89 DH,ROUTE EL JADIDA
Casablanca,AIN HARROUDA,‎ 13.95 DH,CENTRE AIN HARROUDA
Casablanca,GARAGE HENRY,‎ 13.97 DH,"435, BD ZERKTOUNI, CASABLANCA"
Casablanca,OASIS,‎ 13.97 DH,"ROUTE D'EL JADIDA, CASABLANCA"
Casablanca,RIVIERA,‎ 13.97 DH,ANGLE RUE OMAR KHYAM ET ROUTE D'EL JADIDA
Casablanca,BARAKA,‎ 13.97 DH,"NOUVELLE ROUTE D'EL JADIDA, CASABLANCA"
