city,station_name,supercarburant sans plomb,station_location
Casablanca,S/S BASSARI  BOUSKOURA,‎ 14.83 DH,SISE 0 LA RS N° 107- BOUSKOURA PROPRIETE DITE RAMEL LHLALA  
Casablanca,STATION PETROM SERVICE NOREA,‎ 14.42 DH,RP 1 PK 338+1 COMMUNE SIDI MOUSSA EL MAJDOUB
Casablanca,FEDALA,‎ 14.27 DH,RS 111 PK 17+000  MOHAMMEDIA 
Casablanca,BEAUSITE,‎ 14.8 DH,"KM 17  - BOUSKOURA CENTRE B. P. 22, BOUSKOURA"
Casablanca,ERRAHMA,‎ 14.59 DH,ROUTE AZEMMOUR PRÈS CENTRE ERRAHMA
Casablanca,ISTIRAHA ASWAK ASSALAM,‎ 14.71 DH,AV HASSAN II  ASWAKASSALAM  MOHAMEDIA
Casablanca,BD HASSAN II,‎ 14.27 DH,ANGLE BOULEVARD GRANDE CEINTURE ET HASSAN II MOHAMMEDIA
Casablanca,SOCIETE OULED HADJ LARBI - SARL,‎ 14.54 DH,DOUAR LOUCHACHMA
Casablanca,PETROFAN S/S CENTRE SOUALEM,‎ 14.84 DH,COMMUNE HAD SOUALEM- PROVINCE DE BERRECHID
Casablanca,FADILE GESTION S/S ARRAHMA,‎ 14.87 DH,COMMUNE ARRAHMA DAR BOUAZZA -PROVINCE NOUACEUR
Casablanca,S/S SAPINO II,‎ 14.84 DH,"SAPINO LOT 1400, LOT 67- NOUACEUR"
Casablanca,L ESCALE,‎ 14.81 DH,ZONE INDUSTIELLE SAPINO - RN9 - ROUTE MÉDIOUNA VERS BERRECHID
Casablanca,STATION EL ALIA,‎ 14.71 DH,"BD HASSAN II, MOHAMMEDIA"
Casablanca,GALIA,‎ 14.78 DH,"AVENUE HASSAN II, MOHAMMEDIA"
Casablanca,MOHAMEDIA,‎ 14.78 DH,"AVENUE HASSAN II, MOHAMMEDIA"
Casablanca,S/S BS GESTION NOUACEUR,‎ 14.84 DH,"PARC INDUSTRIEL SAPINO, LOT N°1401-MUNICIPALITE NOUACEUR "
Casablanca,MAYSSANE,‎ 14.81 DH,"COMMUNE OULED SALEH, BOUSKOURA"
Casablanca,WINXO SOCCO,‎ 14.8 DH,N1 COM OULED AZZOUZ RTE ELJADIDA
Casablanca,MIRAMAR SS,‎ 14.77 DH,BD MOHAMED V
