"city","station_name","supercarburant sans plomb","gasoil10_price","station_location"
"Casablanca","AIN HARROUDA","‎ 14.8 DH","‎ 13.95 DH","CENTRE AIN HARROUDA"
"Casablanca","AIN HARROUDA","‎ 14.29 DH","‎ 13.97 DH","ROUTE DE CASA   -, MOHAMMEDIA"
"Casablanca","AIN HARROUDA","‎ 14.29 DH","‎ 13.62 DH","RN 1 MUNICIPALITÉ DE AIN HARROUDA PRÉFECTURE DE MOHAMMEDIA    "
"Casablanca","AIN HARROUDA","‎ 14.29 DH","‎ 13.95 DH","CENTRE AIN HARROUDA"
"Casablanca","AIN HARROUDA","‎ 14.8 DH","‎ 13.97 DH","ROUTE DE CASA   -, MOHAMMEDIA"
"Casablanca","AIN HARROUDA","‎ 14.8 DH","‎ 13.62 DH","RN 1 MUNICIPALITÉ DE AIN HARROUDA PRÉFECTURE DE MOHAMMEDIA    "
"Casablanca","AIN HARROUDA","‎ 14.8 DH","‎ 13.95 DH","CENTRE AIN HARROUDA"
"Casablanca","WINXO HASSAN II CASA","‎ 14.8 DH","‎ 13.93 DH","RP HASSANE 2 CASA"
"Casablanca","WIDAD","‎ 14.8 DH","‎ 13.97 DH","ANGLE BD ABDELMOUMEN, CASABLANCA"
"Casablanca","PETROFAN S/S BACHKOU","‎ 14.83 DH","‎ 13.96 DH","BD EL HACHIMI FILALI-QUARTIER LES CRÊTES POLO-CASABLANCA "
"Casablanca","ABDELMOUMEN","‎ 14.8 DH","‎ 13.97 DH","212, BOULEVARD ABDELMOUMEN"
"Casablanca","ABDELMOUMEN I","‎ 14.8 DH","‎ 13.62 DH","355 BOULEVARD ABDELMOUMEN CASABLANCA"
"Casablanca","PETROFAN S/S CALIFORNIE","‎ 14.29 DH","‎ 13.96 DH","ANGLE BOULEVARD PANORAMIQUE & ROUTE TADDART AIN CHOCK"
"Casablanca","ABDELMOUMEN II","‎ 14.29 DH","‎ 13.62 DH","ANGLE RUE LAMENAI ET BOULEVARD ABDELMOUMEN CASABLANCA"
"Casablanca","ISTIRAHA CHAOUIA","‎ 14.72 DH","‎ 13.89 DH","ANGLE BD ROUDANI ET ZERKTOUNI"
"Casablanca","PALMIERS","‎ 14.89 DH","‎ 13.99 DH","QUARTIER PALMIER - ANGLE RUE 9 AVRIL ET RUE MOHAMED BAHI"
"Casablanca","EL GHOUROUB","‎ 14.99 DH","‎ 13.98 DH","61, BOULEVARD BORDEAUX"
"Casablanca","STATION ZIZ GAMA GHANDI","‎ 14.79 DH","‎ 13.89 DH","AVENUE EL MASSIRA"
"Casablanca","PETROFAN S/S SIDI MESSAOUD","‎ 14.83 DH","‎ 13.89 DH","STATION ZIZ, BD GHANDI CASABLANCA"
"Casablanca","MLY YOUSSEF , ZIRAOUI  CASA","‎ 14.29 DH","‎ 13.96 DH","COMMUNE BOUSKOURA-PROVINCE NOUACEUR"
"Casablanca","PETROFAN S/S GHANDI","‎ 14.83 DH","‎ 13.96 DH","ANGLE MLY YOUSSEF ET ZIRAOUI CASA"
"Casablanca","PISCINE","‎ 14.8 DH","‎ 13.97 DH","BOULEVARD GHANDI- CASABLANCA"
"Casablanca","WINXO BORDEAUX","‎ 14.27 DH","‎ 13.89 DH","BD BORDEAUX"
"Casablanca","H&K S/S TADDART","‎ 14.78 DH","‎ 13.96 DH","BOULEVARD HACHIMI FILALI PISTE TADDART CALIFORNIE CASABLANCA"
"Casablanca","WINXO DANTON","‎ 14.78 DH","‎ 13.89 DH","BD BIR ANZARANE"
"Casablanca","S/S AIN HARROUDA","‎ 14.81 DH","‎ 13.94 DH","COMMUNE AIN HARROUDA"
"Casablanca","EL MANAR","‎ 14.8 DH","‎ 13.97 DH","ANGLE BOULEVARD BRAHIM ERROUDANI ET YAACOUB EL MANSOUR, CASABLANCA"
"Casablanca","GHANDI","‎ 14.8 DH","‎ 13.97 DH","ANGLE BOULEVARD GHANDI ET RUE CLEMENT"
"Casablanca","RACINE","‎ 14.88 DH","‎ 13.99 DH","ANGLE BOULEVARD ANFA - BOULEVARD ZERKTOUNI"
"Casablanca","RELAIS AL BAIDA","‎ 14.8 DH","‎ 13.97 DH","275,BD MOULAY YOUSSEF -, CASABLANCA"
"Casablanca","CASABLANCA","‎ 14.39 DH","‎ 14.02 DH","CASABLANCA VERS RABAT, PK 24"
"Casablanca","ALMA","‎ 14.85 DH","‎ 13.99 DH","AUTOROUTE DE CONTOURNEMENT DE CASABLANCA DOUAR LAMZABIINE BOUSKOURA"
"Casablanca","ISTIRAHA BEAULIEU","‎ 14.72 DH","‎ 13.89 DH","BD.GHANDI-RIVERA CASABLANCA"
"Casablanca","CHELLALATE","‎ 14.8 DH","‎ 13.97 DH","COMMUNE CHELLALATE, RTE N 9, MOHAMMEDIA"
"Casablanca","ROUTE DU SUD","‎ 14.8 DH","‎ 13.97 DH","BOULEVARD BRAHIM ROUDANI VERS ROUTE D'EL JADIDA"
"Casablanca","AL MASSIRA","‎ 14.89 DH","‎ 13.99 DH","87, BOULEVARD AL MASSIRA AL KHADRA"
"Casablanca","VILLE VERTE","‎ 14.9 DH","‎ 13.99 DH","VILLE VERTE BOSKOURA "
"Casablanca","SAUVAGE","‎ 14.8 DH","‎ 13.97 DH","ANGLE RUE AISHAK / JOUFROY, CASABLANCA"
"Casablanca","PETRO VEGAS","‎ 14.69 DH","‎ 13.84 DH","AIN HARROUDA CENTRE"
"Casablanca","GARAGE HENRY","‎ 14.8 DH","‎ 13.97 DH","435, BD ZERKTOUNI, CASABLANCA"
"Casablanca","OASIS","‎ 14.8 DH","‎ 13.97 DH","ROUTE D'EL JADIDA, CASABLANCA"
"Casablanca","OASIS","‎ 14.8 DH","‎ 13.62 DH","ROUTE EL JADIDA OASIS"
"Casablanca","OASIS","‎ 14.29 DH","‎ 13.97 DH","ROUTE D'EL JADIDA, CASABLANCA"
"Casablanca","OASIS","‎ 14.29 DH","‎ 13.62 DH","ROUTE EL JADIDA OASIS"
"Casablanca","RIVIERA","‎ 14.8 DH","‎ 13.97 DH","ANGLE RUE OMAR KHYAM ET ROUTE D'EL JADIDA"
"Casablanca","BARAKA","‎ 14.8 DH","‎ 13.97 DH","NOUVELLE ROUTE D'EL JADIDA, CASABLANCA"
"Casablanca","STADES","‎ 14.8 DH","‎ 13.97 DH","ROUTE D'EL JADIDA, CASABLANCA"
"Casablanca","STATION PETROM S.D'HONNEUR","‎ 14.7 DH","‎ 13.89 DH","RTE D'EL JADIDA"
"Casablanca","DOUMER","‎ 14.8 DH","‎ 13.97 DH","ANGLE BD IBN SINA ET BD ROUTE D'AZEMMOUR, CASABLANCA"
"Casablanca","VELODROME","‎ 14.88 DH","‎ 13.99 DH","BOULEVARD MY RACHID"
"Casablanca","SIDI MAAROUF 2","‎ 14.24 DH","‎ 13.57 DH","9 CENTRE COMMERCIAL BOUSKOURA SIDI MAÂROUF CASABLANCA"
"Casablanca","SPORTS CASA SS","‎ 14.46 DH","‎ 14.59 DH","12 BOULEVARD IBN SINA"
"Casablanca","MEDMA GESTION S/S FLORIDA","‎ 14.83 DH","‎ 13.96 DH","LOT FLORIDA-SIDI MAAROUF-CASABLANCA"
"Casablanca","SIDI MESSAOUD","‎ 10.91 DH","‎ 9.57 DH","RS 109 PK 10+000 SIDI MESSAOUD CASABLANCA"
"Casablanca","WINXO GHANDI","‎ 14.79 DH","‎ 13.92 DH","ANG. BD GHANDI ET IBN SINA"
"Casablanca","WINXO HIPPODROME","‎ 14.8 DH","‎ 13.95 DH","ANGLE AV. MY RACHID ET D'HIERS"
"Casablanca","ISTIRAHA BOUSKOURA 1","‎ 14.8 DH","‎ 13.89 DH","ROUTE NATIONALE 11"
"Casablanca","SIDI MESSOUD BOUSKOURA","‎ 14.1 DH","‎ 9.67 DH","RN 9 PK 24 COMMUNE EL MAJJATEA OULED TALEB"
"Casablanca","EXIT CASABLANCA","‎ 14.8 DH","‎ 13.97 DH","SORTIE VERS NOUACER, CASABLANCA"
"Casablanca","BOUSKOURA 1","‎ 14.29 DH","‎ 13.62 DH","SORTIE DE CASABLANCA, ROUTE DE MARRAKECH"
"Casablanca","AL MENZAH ","‎ 14.8 DH","‎ 13.97 DH","BD ROOSVELT/RAMPE D'ANFA, CASABLANCA"
"Casablanca","S/S LHBIB OUED HASSAR","‎ 14.83 DH","‎ 13.96 DH","COMMUNE RURALE SIDI HAJJAJ OUED HASSAR"
"Casablanca","HASSANIA","‎ 14.87 DH","‎ 13.97 DH","BD DE LA GRANDE CEINTURE, CASABLANCA"
"Casablanca","ALLAYMOUN","‎ 14.8 DH","‎ 13.62 DH","LOTISSEMENT MEHDI ROUTE EL JADIDA LISSASFA"
"Casablanca","SIDI MAAROUF","‎ 14.29 DH","‎ 13.99 DH","KM 7 CENTRE QUARTIER SIDI MAAROUF, ROUTE DE BOUSKOURA"
